X,Y,OBJECTID,IncidentID,ReportDate,CapDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
617744.866500001,607168.7018,16747,,1900/01/01 00:00:00+00,2013/07/25 00:00:00+00,Northeast,Central,Putnam, , ,0,29.45328,-81.75147,Research, , ,Cambrian,Yes,Released On-Site, ,Male,Adult,275,4,0,0, , , , ,E179,0, ,
615094.254500002,614344.8407,16748,,1900/01/01 00:00:00+00,2014/07/25 00:00:00+00,Northeast,Central,Putnam, , ,0,29.518333,-81.7775,Research, , ,Snare,Yes,Released On-Site, ,Male,Cub,60,1,0,0, , , , ,E240,0, ,
664525.612599999,529470.2274,16749,,1981/10/15 00:00:00+00,1981/10/15 00:00:00+00,Northeast,Central,Seminole, ,SANFORD,32771,28.745243,-81.286189,Conflict, , , , ,Released Off-Site, ,Male,Juvenile,90,0,0,0, , , , , ,0, ,
635407.685800001,572169.8476,16750,,1982/05/28 00:00:00+00,,Northeast,Central,Lake,OTHER,OCALA WMA,0,29.135131,-81.576224,Road Injured, , ,Cage (e.g. Havahart),Yes,Released Off-Site, ,Male,Cub,40,0,0,0,B428, , , , ,0, ,
136276.0372,741604.9071,16751,,1985/01/01 00:00:00+00,,Northwest,West Panhandle,Okaloosa,OTHER, ,0,30.655751,-86.754189,Conflict, , , ,No,Released Off-Site, ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
548742.8763,708020.2707,16752,,1986/05/13 00:00:00+00,1986/05/14 00:00:00+00,North Central,North,Baker,OTHER,SEBRING,0,30.371231,-82.450841,Conflict, ,In Apiary,Snare,Yes,Released Off-Site, ,Female,Adult,175,9,0,0,B3, ,B4, , ,0,6975,
134345.552999999,717504.2548,16753,,1986/06/10 00:00:00+00,,Northwest,West Panhandle,Okaloosa,OTHER, ,0,30.438233,-86.768693,Conflict, , , ,No,Released Off-Site, ,Male,Cub,180,0,0,0, , , , , ,0, ,
604846.312399998,676405.7261,16754,,1986/08/02 00:00:00+00,1986/08/02 00:00:00+00,North Central,Central,Clay,OTHER,MIDDLEBURG,0,30.078892,-81.872304,Conflict, , , , ,Released Off-Site, ,Male,Adult,310,8,0,0,6, ,5, , ,0,"6977, 6978, 2583",
575676.5337,696726.5524,16755,,1986/09/10 00:00:00+00,1986/09/10 00:00:00+00,North Central,North,Baker,OTHER,GLEN ST MARY,0,30.26616,-82.172108,Conflict, , , , ,Released Off-Site, ,Male,Adult,0,8,0,0, , , , , ,0,6878,
673439.109999999,227801.8777,16756,,1987/07/30 00:00:00+00,1987/07/30 00:00:00+00,South,South,Collier, , ,0,26.027206,-81.263443,Conflict, , , , ,Released Off-Site, ,Unknown,Cub,0,0,0,0, , , , , ,0, ,
646112.856699999,257354.1239,16757,,1988/05/17 00:00:00+00,1988/05/14 00:00:00+00,South,South,Collier, , ,0,26.298624,-81.530924,Conflict, ,In Apiary,Cage (e.g. Havahart),Yes,Released Off-Site, ,Female,Juvenile,70,0,0,0, , ,413, ,413,0, ,
440365.4712,676016.6754,16758,,1988/07/17 00:00:00+00,1988/07/18 00:00:00+00,North Central,East Panhandle,Taylor,OTHER,Perry,32348,30.09069,-83.580706,Conflict, , ,Free Ranging,No,Released Off-Site, ,Female,Juvenile,115,1,0,0, , , , ,89,0,6999,
635278.107099999,246867.683,16759,,1988/08/22 00:00:00+00,,South,South,Collier, , ,0,26.20607,-81.641606,Conflict, , ,Snare,Yes,Released Off-Site, ,Female,Cub,0,0,0,0,414, ,414, , ,0, ,
625965.328499999,544054.0604,16760,,1989/01/06 00:00:00+00,1989/01/10 00:00:00+00,Northeast,Central,Lake,OTHER,EUSTIS,0,28.883628,-81.678868,Conflict, ,In Apiary,Culvert,Yes,Released On-Site, ,Male,Adult,450,0,0,0,430, ,430, ,430,0, ,
645734.456599999,239902.2314,16761,,1989/05/14 00:00:00+00,1989/05/14 00:00:00+00,South,South,Collier, , ,0,26.141479,-81.538214,Sick/Injured, , , , ,Released Off-Site, ,Male,Adult,300,0,0,0,412, , , , ,0, ,
646988.594999999,536443.1719,16762,,1989/11/18 00:00:00+00,1989/11/18 00:00:00+00,Northeast,Central,Lake, ,Sorrento,32776,28.811379,-81.464581,Road Injured, , ,Free Ranging,Yes,Released Off-Site with Workup, ,Male,Adult,300,0,0,0,B-437, , , ,437,0, ,
241588.706,694267.2836,16763,,1989/12/27 00:00:00+00,1989/12/27 00:00:00+00,Northwest,East Panhandle,Bay, , ,0,30.246197,-85.64793,Conflict, , , , ,Released On-Site, ,Female,Adult,0,7,0,0,3611, , , , ,0,"6972, 2700",
128043.6501,777958.1359,16764,,1990/05/16 00:00:00+00,1990/05/16 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.981645,-86.848903,Road Injured, , , ,Yes,OTHER,Unknown,Female,Adult,149,4,4,0,213, ,213, ,213,0, ,
672630.723299999,212899.6573,16765,,1990/09/30 00:00:00+00,1990/09/30 00:00:00+00,South,South,Collier, , ,0,25.893106,-81.274826,Road Injured, , , , ,Released On-Site with Workup, ,Male,Adult,210,3,0,0,402, , , , ,0, ,
664102.729499999,248666.3782,16766,,1991/02/18 00:00:00+00,1991/02/18 00:00:00+00,South,South,Collier,OTHER,FAKAHATCHEE,0,26.217002,-81.352369,Conflict,Research, ,Culvert,Yes,Released On-Site with Workup, ,Male,Adult,325,4,0,0,425, , , ,425,0, ,
656866.678399999,520088.1668,16767,,1991/07/09 00:00:00+00,1991/07/09 00:00:00+00,Northeast,Central,Seminole,OTHER,ALTAMONTE SPRINGS,0,28.662276,-81.366794,Conflict, , , , ,Released Off-Site, ,Male,Adult,275,0,0,0, , , , , ,0,7028,
629457.567000002,247031.1321,16768,,1991/08/11 00:00:00+00,1991/08/11 00:00:00+00,South,South,Collier, , ,0,26.208533,-81.699906,Conflict, , , ,Yes,Released On-Site, ,Male,Juvenile,0,2,0,0,447, ,447, , ,0, ,
531883.316500001,498138.1421,16769,,1992/01/11 00:00:00+00,1992/01/11 00:00:00+00,Southwest,Big Bend,Hernando, ,Hernando Beach,34607,28.482824,-82.650342,Road Injured, , ,Free Ranging,Yes,Taken to Rehab, ,Female,Cub,0,0,0,0, ,B102,B103,B103, ,0,7043,
670606.640900001,215033.5822,16770,,1992/01/13 00:00:00+00,1992/01/13 00:00:00+00,South,South,Collier,OTHER,OCHOPEE,0,25.912734,-81.294584,Conflict, , ,Culvert, ,Released On-Site, ,Male,Cub,0,0,0,0, , , , , ,0, ,
657850.295200001,520319.2665,16771,,1992/05/03 00:00:00+00,1992/05/03 00:00:00+00,Northeast,Central,Seminole,OTHER,ALTAMONTE SPRINGS,0,28.664167,-81.356663,Conflict, , , , ,Released Off-Site, ,Unknown,Adult,250,0,0,0,451, ,451, , ,0, ,
655998.151999999,524587.4743,16772,,1992/06/24 00:00:00+00,1992/06/24 00:00:00+00,Northeast,Central,Seminole,OTHER,Longwood,32750,28.702948,-81.374713,Conflict, , , ,No,Released Off-Site, ,Male,Adult,275,0,0,0, , , , ,451,0, ,
591107.816100001,617258.2873,16773,,1992/07/21 00:00:00+00,1992/07/21 00:00:00+00,Northeast,Central,Putnam, , ,0,29.548246,-82.024817,Conflict, , , , ,Released Off-Site, ,Male,Cub,0,0,0,0, , , , , ,0, ,
644612.713199999,521254.0534,16774,,1993/01/30 00:00:00+00,1993/02/03 00:00:00+00,Northeast,Central,Orange,OTHER,Apopka,32703,28.675072,-81.492134,Conflict, ,Property Damage, ,Yes,Released Off-Site without Workup, ,Female,Adult,150,0,0,0,454, ,455, ,453,0,"12369, 7077",
644612.713199999,521254.0534,16775,,1993/01/30 00:00:00+00,1993/02/03 00:00:00+00,Northeast,Central,Orange,OTHER,Apopka,32703,28.675072,-81.492134,Conflict, ,Property Damage, ,Yes,Released On-Site with Workup, ,Female,Juvenile,82,1,0,0,B452, ,B453, ,452,0,"12369, 7077",
357116.7623,707065.2802,16776,,1993/04/15 00:00:00+00,1993/04/21 00:00:00+00,Northwest,East Panhandle,Leon,OTHER,Tallahassee,32305,30.370345,-84.446615,Conflict, ,In Apiary,Snare,Yes,Released On-Site with Workup, ,Male,Juvenile,143,0,0,0,X30, ,X30, ,30,0,"7096, 8451, 8453",
643253.156500001,523052.4725,16777,,1993/04/18 00:00:00+00,1993/04/18 00:00:00+00,Northeast,Central,Orange,OTHER,APOPKA,0,28.691511,-81.505696,Conflict, , ,Culvert,Yes,Released Off-Site, ,Female,Adult,200,0,0,0, , , , ,438,0, ,
355965.803199999,715044.1481,16778,,1993/05/25 00:00:00+00,1993/05/25 00:00:00+00,Northwest,East Panhandle,Leon,OTHER, ,0,30.442201,-84.458911,Conflict, ,In Apiary,Snare,No,OTHER,Unknown,Male,Juvenile,168,0,0,0,X30, ,X30, ,X30,0,"7096, 8451, 7084",
647772.671100002,525784.1784,16779,,1993/05/31 00:00:00+00,1993/07/04 00:00:00+00,Northeast,Central,Seminole, ,WEKIVA SPRINGS,0,28.715273,-81.458789,Conflict, , , ,No,Released Off-Site, ,Female,Juvenile,150,0,0,0,454, ,454, ,454,0, ,
646606.361900002,241025.9256,16780,,1993/06/10 00:00:00+00,1993/06/10 00:00:00+00,South,South,Collier, , ,0,26.151445,-81.529256,Conflict, , ,Culvert, ,Released Off-Site, ,Male,Cub,0,0,0,0,24, ,24, ,38,0, ,
354562.908500001,672879.8475,16781,,1993/07/25 00:00:00+00,1993/07/27 00:00:00+00,Northwest,East Panhandle,Wakulla,OTHER,Sopchoppy,32358,30.062266,-84.47185,Road Injured, , ,Free Ranging,Yes,Taken to Rehab, ,Male,Cub,0,0,0,0, ,X37, ,X37, ,37,7147,
593472.420600001,466407.9986,16782,,1993/09/08 00:00:00+00,1993/09/08 00:00:00+00,Southwest,South Central,Polk,OTHER,Lakeland,33810,28.189663,-82.025346,Non-FWC Authorized Capture, , ,Cage (e.g. Havahart), ,Released On-Site, ,Male,Cub,150,0,0,0, , , , , ,0, ,
