X,Y,OBJECTID,BearID,ReportDate,MortDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CauseMort,OCauseMort,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
631325.9835,684499.1522,8378,Bear-0000010590,1979/06/20 00:00:00+00,1979/06/20 00:00:00+00,North Central,North,Duval,OTHER,Jacksonville,0,30.14741,-81.595692,Illegal Kill, , , , , , , , ,Male,Adult,241,5,0,0, , , , , ,0, ,
666074.117400002,220847.0169,8379,Bear-0000011033,1990/07/02 00:00:00+00,1990/07/02 00:00:00+00,South,South,Collier, , ,0,25.966,-81.33863,Illegal Kill, , , , , , , , ,Male,Cub,0,0,0,0, , , , , ,0, ,
300191.9397,649147.9651,8380,Bear-0000014157,1990/11/15 00:00:00+00,1990/11/15 00:00:00+00,Northwest,East Panhandle,Gulf, ,Wewahitchka,32465,29.845496,-85.034389,Unknown, , , , , , , , ,Female,Unknown,0,0,0,0, , , , , ,0, ,
667596.388099998,351463.073,8381,Bear-0000017503,1994/06/30 00:00:00+00,1994/06/30 00:00:00+00,Southwest,South Central,Highlands,OTHER,Venus,33960,27.142094,-81.294752,Unknown, , , , , , , , ,Male,Unknown,350,0,0,0, , , , , ,0, ,
152501.757100001,729399.6069,8382,Bear-0000011410,1994/11/26 00:00:00+00,1994/11/26 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.548948,-86.582119,Illegal Kill, , , , , , , , ,Male,Cub,0,0,0,0,3, ,3, ,3,3, ,
120384.135400001,719350.4927,8383,Bear-0000011564,1996/11/10 00:00:00+00,1996/11/10 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.451966,-86.914603,Illegal Kill, , , , , , , , ,Male,Adult,275,3,0,0, , , , , ,0, ,
659491.781500001,554955.6966,8384,Bear-0000014168,1997/01/27 00:00:00+00,1997/01/27 00:00:00+00,Northeast,Central,Volusia, , ,0,28.97567,-81.33216,OTHER,Hit by train, , , , , , , ,Unknown,Adult,325,13,0,0, , , , , ,0, ,
543441.542599998,717515.2238,8385,Bear-0000011703,1997/09/20 00:00:00+00,1997/09/20 00:00:00+00,North Central,North,Columbia, , ,0,30.45737,-82.50485,Illegal Kill, , , , , , , , ,Female,Juvenile,115,2,0,0, , , , , ,0, ,
639608.468899999,259507.5704,8386,Bear-0000011692,1997/10/29 00:00:00+00,1997/10/29 00:00:00+00,South,South,Collier, , ,0,26.31918,-81.59574,Illegal Kill, , , , , , , , ,Female,Cub,0,0,0,0, , , , , ,0, ,
648190.3937,245776.0373,8387,Bear-0000011701,1997/11/14 00:00:00+00,1997/11/14 00:00:00+00,South,South,Collier, , ,0,26.19395,-81.51243,Illegal Kill, , , , , , , , ,Unknown,Adult,200,6,0,0, , , , , ,0, ,
