X,Y,OBJECTID,BearID,ReportDate,RelDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
649961.517200001,238867.4487,15009,Bear-0000022133,2023/12/27 00:00:00+00,2024/01/02 00:00:00+00,South,South,Collier, ,Sebring,33875,26.13139,-81.496089,Conflict, ,In Garbage, ,Yes,Released Off-Site without Workup, ,Female,Adult,350,0, ,0, , , , , , , ,
322180.442400001,681169.5203,15010,Bear-0000022097,2023/12/26 00:00:00+00,2024/01/01 00:00:00+00,Northwest,East Panhandle,Liberty, ,Carrabelle,32322,30.1354314,-84.8086887,Conflict, ,In Garbage,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,325,0,0,0, , , , , , , ,
629035.943700001,572991.3417,15011,Bear-0000022092,2023/12/21 00:00:00+00,2023/12/23 00:00:00+00,Northeast,Central,Marion, ,Apopka,32712,29.14364,-81.64165,Conflict, ,Injured Animal,Cambrian,Yes,Released Off-Site without Workup, ,Male,Juvenile,150,0, ,0, , , , , , , ,
629035.943700001,572991.3417,15012,Bear-0000022109,2023/12/21 00:00:00+00,2023/12/25 00:00:00+00,Northeast,Central,Marion, ,Apopka,32712,29.14364,-81.64165,Conflict, ,Injured Animal,Cambrian,Yes,Released Off-Site without Workup, ,Female,Adult,230,0,0,2, , , , , , , ,
629035.943700001,572991.3417,15013,Bear-0000022110,2023/12/21 00:00:00+00,2023/12/25 00:00:00+00,Northeast,Central,Marion, ,Apopka,32712,29.14364,-81.64165,Conflict, ,Killed Animal,Cambrian,Yes,Released Off-Site without Workup, ,Unknown,Juvenile,100,0, ,0, , , , , , , ,
322180.442400001,681169.5203,15014,Bear-0000022096,2023/12/21 00:00:00+00,2023/12/23 00:00:00+00,Northwest,East Panhandle,Liberty, ,Eastpoint,32328,30.1354314,-84.8086887,Non-target, , ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,250,0,0,0, , , , , , , ,
629016.0528,573020.6156,15015,Bear-0000022052,2023/12/14 00:00:00+00,2023/12/16 00:00:00+00,Northeast,Central,Marion, ,Pomona Park,32181,29.143907,-81.641849,Preemptive, , ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,300,0, ,0, , , , , , , ,
337849.052000001,681053.6446,15016,Bear-0000022105,2023/12/13 00:00:00+00,2023/12/22 00:00:00+00,Northwest,East Panhandle,Liberty, ,Tallahassee,32310,30.13522,-84.64586,Conflict, ,Injured Animal,Cambrian,Yes,Released Off-Site without Workup, ,Female,Adult,175,0, ,2, , , , , , , ,
629033.109700002,573037.9348,15017,Bear-0000022049,2023/12/11 00:00:00+00,2023/12/15 00:00:00+00,Northeast,Central,Marion, ,SORRENTO,32776,29.14406,-81.64167,Conflict, ,Killed Animal,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,275,0,0,0, , , , , , , ,
196374.887499999,732240.4021,15018,Bear-0000022038,2023/12/08 00:00:00+00,2023/12/12 00:00:00+00,Northwest,West Panhandle,Okaloosa, ,Eglin Air Force Base,32542,30.582089,-86.125007,Transient,Near active airfield, ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Juvenile,200,0, ,0, , , , , , , ,
218444.6021,724260.7219,15019,Bear-0000022037,2023/12/05 00:00:00+00,2023/12/12 00:00:00+00,Northwest,West Panhandle,Walton, ,Gulf Breeze,32563,30.51343,-85.89345,Conflict, ,Killed Animal,Cambrian,Yes,Released Off-Site without Workup, ,Male,Juvenile,160,0, ,0, , , , , , , ,
322027.538600001,680765.2141,15020,Bear-0000022118,2023/12/05 00:00:00+00,2024/01/12 00:00:00+00,Northwest,East Panhandle,Liberty, ,Port St. Joe,32456,30.13178,-84.81025,Conflict, ,In Garbage, ,Yes,Released Off-Site without Workup, ,Male,Adult,325,0, ,0, , , , , , , ,
629033.109700002,573037.9348,15021,Bear-0000022039,2023/12/04 00:00:00+00,2023/12/09 00:00:00+00,Northeast,Central,Marion, ,Altoona,32702,29.14406,-81.64167,Human Safety Risk, , ,Cambrian, ,Released Off-Site without Workup, ,Female,Adult,175,0, ,0, , , , , , , ,
322123.388799999,681146.4289,15022,Bear-0000022015,2023/11/29 00:00:00+00,2023/12/05 00:00:00+00,Northwest,East Panhandle,Liberty, ,Eastpoint,32328,30.13522,-84.80928,Non-target, , ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,140,0, ,0, , , , , , , ,
322180.442400001,681169.5203,15023,Bear-0000022011,2023/11/29 00:00:00+00,2023/12/02 00:00:00+00,Northwest,East Panhandle,Liberty, ,Carrabelle,32322,30.1354314,-84.8086887,Non-target, , ,Cambrian,Yes,Released Off-Site without Workup, ,Unknown,Juvenile,100,0,0,0, , , , , , , ,
322180.442400001,681169.5203,15024,Bear-0000022012,2023/11/29 00:00:00+00,2023/12/03 00:00:00+00,Northwest,East Panhandle,Liberty, ,Carrabelle,32322,30.1354314,-84.8086887,Non-target, , ,Cambrian,Yes,Released Off-Site without Workup, ,Unknown,Juvenile,60,0,0,0, , , , , , , ,
623678.248300001,584859.2582,15025,Bear-0000022050,2023/11/27 00:00:00+00,2023/12/05 00:00:00+00,Northeast,Central,Marion, ,Leesburg,34788,29.25141,-81.69452,Non-target, , ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,550,0, ,0, , , , , , , ,
611619.683699999,551483.0057,15026,Bear-0000022032,2023/11/27 00:00:00+00,2023/12/09 00:00:00+00,Northeast,Central,Lake, ,Leesburg,34788,28.952869,-81.82485,Non-target, , ,Cambrian,Yes,Released On-Site without Workup, ,Male,Adult,215,0, ,0, , , , , , , ,
611714.140900001,551479.2301,15027,Bear-0000022065,2023/11/27 00:00:00+00,2023/11/30 00:00:00+00,Northeast,Central,Lake, ,Leesburg,34788,28.95282,-81.82388,Non-target, , ,Cambrian,Yes,Released On-Site without Workup, ,Female,Adult,275,0, ,0, , , , , , , ,
113997.7194,726392.0774,15028,Bear-0000022019,2023/11/26 00:00:00+00,2023/12/04 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,FORT WALTON BEACH,32547,30.5140242,-86.9829219,Conflict, ,Killed Animal,Cambrian,Yes,Released Off-Site with Workup, ,Male,Adult,175,0, ,0, , , , ,W482, , ,
628562.669799998,571897.3048,15029,Bear-0000022005,2023/11/22 00:00:00+00,2023/11/29 00:00:00+00,Northeast,Central,Marion, ,ORLANDO,32836,29.133871,-81.646737,Non-FWC Authorized Capture, , ,Cambrian,Yes,Released Off-Site without Workup, ,Male,Adult,250,0, ,0, , , , , , , ,
638619.0724,586880.8756,15030,Bear-0000022003,2023/11/22 00:00:00+00,2023/11/24 00:00:00+00,Northeast,Central,Volusia, ,DeLand,32724,29.267013,-81.540147,Conflict, ,In Garbage,Cambrian,Yes,Released Off-Site without Workup, ,Unknown,Cub,110,0, ,0, , , , , , , ,
638619.0724,586880.8756,15031,Bear-0000022004,2023/11/22 00:00:00+00,2023/11/24 00:00:00+00,Northeast,Central,Volusia, ,DeLand,32724,29.267013,-81.540147,Conflict, ,In Garbage,Cambrian,Yes,Released Off-Site without Workup, ,Unknown,Cub,100,0, ,0, , , , , , , ,
