X,Y,OBJECTID,BearID,ReportDate,SubType,RoadDate,Region,BMU,County,Locale,ZipCode,Latitude,Longitude,OrigCap,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
73196.1715999991,734031.1468,43143,Bear-0000010609,1981/06/30 00:00:00+00,Carcass,1981/06/30 00:00:00+00,Northwest,West Panhandle,Escambia, ,0,30.57331,-87.41047, ,Male,Juvenile,95,2,0,0, , , , , ,0, ,
81974.0086000003,728327.6954,43144,Bear-0000011317,1994/05/09 00:00:00+00,Carcass,1994/05/09 00:00:00+00,Northwest,West Panhandle,Escambia, ,0,30.52409,-87.31731, ,Male,Adult,355,6,0,0, , , , , ,0, ,
94115.4488999993,756347.9552,43145,Bear-0000018075,2016/12/11 00:00:00+00,Carcass,2016/12/10 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32570,30.779416,-87.1983, ,Male,Juvenile,178,2,0,0, , , , , ,0, ,
96622.6013000011,709315.5671,43146,Bear-0000019553,2019/05/26 00:00:00+00,Carcass,2019/05/26 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32561,30.3563,-87.1595, ,Female,Juvenile,155,2,0,0, , , , , ,0, ,
98723.4510000013,710081.6047,43147,Bear-0000018320,2017/04/30 00:00:00+00,Carcass,2017/04/30 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.3636833,-87.1378333, ,Male,Cub,10,0.25, , , , , , , ,0, ,
101925.047899999,744880.1217,43148,Bear-0000021040,2022/04/29 00:00:00+00,Carcass,2022/04/29 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32570,30.6778949,-87.1136518,Yes,Male,Adult,0,3,0,0, , , , , ,0, ,
103605.1483,728844.4344,43149,Bear-0000013126,2009/06/24 00:00:00+00,Carcass,2009/06/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa,OTHER,0,30.53381,-87.09191, ,Male,Juvenile,245,3,0,0,W231, ,W231, ,W231,0,"26607, 28976",
105527.097199999,713196.6771,43150,Bear-0000014012,2014/03/22 00:00:00+00,Carcass,2014/03/22 00:00:00+00,Northwest,West Panhandle,Santa Rosa,OTHER,0,30.393285,-87.067809, ,Female,Adult,225,3,0,0,W250, ,W250, ,W250,0,56407,
106578.9186,712934.6438,43151,Bear-0000018183,2016/12/24 00:00:00+00,Carcass,2016/12/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.39116,-87.056788, ,Male,Juvenile,110,0,0,0, , , , , ,0, ,
107211.282400001,730751.5068,43152,Bear-0000019179,2018/10/23 00:00:00+00,Carcass,2018/10/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.5518,-87.0548, ,Female,Adult,162,21, , , , , , , ,0, ,
107211.282400001,730751.5068,43153,Bear-0000018100,2016/12/24 00:00:00+00,Carcass,2016/12/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.5518,-87.0548, ,Female,Adult,175,4,0,0, , , , , ,0, ,
106993.0013,713000.7629,43154,Bear-0000020482,2020/10/03 00:00:00+00,Carcass,2020/10/03 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.391848,-87.052493,Yes,Female,Adult,250,3,0,0, , , , , ,0, ,
108913.983100001,752306.8298,43155,Bear-0000012961,2008/04/27 00:00:00+00,Carcass,2008/04/26 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.74638,-87.04259, ,Male,Adult,275,3,0,0, , , , , ,0, ,
108484.5167,713202.8327,43156,Bear-0000007686,2010/05/21 00:00:00+00,Carcass,2010/05/21 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.394,-87.0370128, ,Female,Adult,180,4, , , , , , ,None,0, ,
108608.022500001,713266.6551,43157,Bear-0000021766,2023/09/24 00:00:00+00,Carcass,2023/09/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.3946023,-87.035743, ,Male,Cub,40,0, , , , , , , ,0, ,
109536.973200001,713387.8815,43158,Bear-0000019552,2019/05/26 00:00:00+00,Carcass,2019/05/26 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.3959,-87.0261, ,Female,Adult,172,9,Unknown,Unknown, , , , , ,0, ,
109748.373,713432.9841,43159,Bear-0000017472,2014/11/29 00:00:00+00,Carcass,2014/11/29 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.396353,-87.02391, ,Male,Cub,29,0.83, , , , , , , ,0, ,
110952.846700002,733932.8154,43160,Bear-0000010773,1986/07/15 00:00:00+00,Carcass,1986/07/15 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.58129,-87.01659, ,Male,Juvenile,215,4,0,0, , ,AB 14, ,14,0, ,
111936.858199999,734740.1658,43161,Bear-0000013458,2012/06/22 00:00:00+00,Carcass,2012/06/22 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.58878,-87.00653, ,Male,Juvenile,120,2,0,0, , , , , ,0, ,
112003.690200001,734866.9622,43162,Bear-0000019032,2018/08/24 00:00:00+00,Carcass,2018/08/24 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.589937,-87.005865, ,Male,Juvenile,47,2, , , , , , , ,0, ,
112646.7119,735409.4038,43163,Bear-0000013708,2013/04/02 00:00:00+00,Carcass,2013/04/02 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.594965,-86.999294, ,Male,Adult,255,4,0,0, , , , ,W240,0,35652,
112816.386399999,735532.8145,43164,Bear-0000018423,2017/07/01 00:00:00+00,Carcass,2017/07/01 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.596114,-86.997555, ,Male,Adult,270,3, , , , , , , ,0, ,
113562.409899998,736160.264,43165,Bear-0000013433,2012/02/03 00:00:00+00,Carcass,2012/02/03 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.60193,-86.98993, ,Male,Adult,350,3,0,0, , , , , ,0, ,
113730.199900001,736297.718,43166,Bear-0000013217,2011/01/18 00:00:00+00,Carcass,2011/01/18 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,0,30.603205,-86.988214, ,Male,Adult,405,6,0,0, , , , , ,0,36091,
113924.953899998,736436.7411,43167,Bear-0000013819,2013/11/23 00:00:00+00,Carcass,2013/11/23 00:00:00+00,Northwest,West Panhandle,Santa Rosa,OTHER,0,30.6045,-86.986217, ,Female,Adult,120,5,0,0, , , , , ,0,54307,
113991.561700001,733944.1597,43168,Bear-0000021873,2023/11/07 00:00:00+00,Capture,2023/11/07 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.5820585,-86.9848923, ,Male,Cub,42,0, , , , , , , ,0, ,
114186.123,736647.3069,43169,Bear-0000017302,2015/12/17 00:00:00+00,Carcass,2015/12/17 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.606454,-86.983545, ,Female,Adult,145,3, , , , , , , ,0, ,
113657.170200001,713975.752,43170,Bear-0000017588,2016/06/14 00:00:00+00,Carcass,2016/06/14 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32563,30.4021,-86.98334, ,Male,Adult,455,5, , , , , , , ,0, ,
114369.9593,736846.5392,43171,Bear-0000018578,2017/10/08 00:00:00+00,Carcass,2017/10/08 00:00:00+00,Northwest,West Panhandle,Santa Rosa, ,32583,30.608289,-86.981677,Yes,Female,Juvenile,76,2,0,0, , , , , ,0, ,
